ID	mission_text
0	Level up any cat to Level 2 -> Cat Food X 20
1	Activate all of the following treasures: 39, 40, 41, 42, 43, 44, 45 -> Cat Food X 20
2	Get a User Rank of 10 -> Cat Food X 20
3	Draw a Cat Capsule -> Cat Food X 20
4	Recruit a Gamatoto Assistant -> Cat Food X 20
5	Clear a stage using any CatCombo -> Cat Food X 20
6	Clear any Dojo stage -> Cat Food X 20
7	Acquire the True Form of any normal cat -> Cat Food X 20
8	Beat "Japan [EoC]" -> Cat Food X 20
9	Beat "India [EoC]" -> Cat Food X 20
10	Beat "Madagascar [EoC]" -> Cat Food X 20
11	Beat "Greece [EoC]" -> Cat Food X 20
12	Beat "Greenland [EoC]" -> Cat Food X 20
13	Beat "Argentina [EoC]" -> Cat Food X 20
14	Beat "Hollywood [EoC]" -> Cat Food X 20
15	Beat "Moon Ch.1 [EoC]" -> Cat Food X 50
16	Beat "Moon Ch.2 [EoC]" -> Cat Food X 50
17	Beat "Moon Ch.3 [EoC]" -> Cat Food X 100
18	Beat "Moon [ItF Ch.1]" -> Cat Food X 50
19	Beat "Moon [ItF Ch.2]" -> Cat Food X 50
20	Beat "Moon [ItF Ch.3]" -> Cat Food X 100
22	Beat "The Big Bang [CotC Ch.1]" -> Cat Food X 100
23	Beat "The Big Bang [CotC Ch.2]" -> Cat Food X 100
24	Beat "Moon Ch.1 [EoC]" -> Platinum Ticket X 1
25	Beat "The Big Bang [CotC Ch.3]" -> Cat Food X 150
26	Beat "Moon Ch.1 [EoC]" -> Platinum Ticket X 1
27	Clear all Level 1 SoL stages -> Platinum Ticket X 1
28	Clear all Level 2 SoL stages -> Platinum Ticket X 1
8000	Clear any Cat Ticket stage 3 times -> XP X 100000
8001	Clear any XP Reward stage 5 times -> Cat Ticket X 1
8002	Clear any SoL stage 5 times -> Catamin [C] X 1
8003	Finish 7 Gamatoto Expeditions -> Cat Ticket X 1
8004	Clear all 4 missions from the following: 8000, 8001, 8002, 8003 -> Cat Food X 20
8005	Clear any Cat Ticket stage 3 times -> XP X 100000
8006	Clear any XP Reward stage 5 times -> Cat Ticket X 1
8007	Finish 10 Gamatoto Expeditions -> XP X 100000
8008	Clear any Catfruit stage 3 times -> Cat Ticket X 1
8009	Clear any SoL stage 10 times -> Cat Ticket X 1
8010	Clear all 4 missions from the following: 8005, 8006, 8007, 8008 -> Cat Food X 30
