ID	name
11	Castle of Fish
12	Sushi Island
13	The Scratching Post
14	Parthenon
15	Low Tide Beach
16	Alcatraz
17	Jail Break Tunnel
18	Capone's Jail
19	Silk Road
20	Stairway to Darkness
21	Prince of Darkness
22	Dead End Night
23	Battle Royale
24	Scars of War
25	Sea Polluter
26	Body & Soul
27	Weak & Mildly Acidic
28	Intrepid Cats
29	Shadow Cosmopolis
30	Galapa-Goth
31	Kombu Cape
32	Axis of Evil
33	Suburbs of the Dead
34	Quarantine Isles
35	Mouseyland
36	Walk of Fame
37	Cutpurse Coast
38	Above & Below
39	Windless Island
40	IT Catacombs
41	Grotesque Gallery
42	Area 22
43	Beyond the Savannah
44	Blizzard Boulevard
45	Singularityville
46	Ends of the Earth
47	The Legend Ends
48	Laboratory of Relics
1000	Monday Stage
1001	Tuesday Stage
1002	Wednesday Stage
1003	Thursday Stage
1004	Friday Stage
1005	Weekend Stage
1006	Cat Ticket Chance!
1007	Siege of Hippoe!
1008	Autumn = Sports Day
1009	Loving Labour
1010	Jingle Cat Bell
1011	Happy New Year ?
1012	Ritual Happiness
1013	Bears be Bare
1014	Crimson Catastrophe
1015	Heaven of Darkness
1016	Peerless
1017	The Crazed Cat
1018	The Crazed Tank
1019	The Crazed Axe
1020	The Crazed Gross
1021	The Crazed Cow
1022	The Crazed Bird
1023	The Crazed Fish
1024	The Crazed Lizard
1025	The Crazed Titan
1026	Teacher! It's Spring!
1027	Weekend Stage
1028	XP Stage
1029	Love is Sickness
1030	The Forbidden Bride
1031	Never Summer!
1032	Ghostly Houseguests
1033	Monthly Event All-Stars Special Celebration!
1034	Monthly Event All-Stars Ultra Celebration!
1035	Monthly Event All-Stars Miracle Celebration!
1036	Old Guys About Town
1037	Korean Special Stage
1038	Autumn = Sports Day!
1039	Wrath of Heaven
1040	Happy Birthday! No. 1
1041	Happy Birthday! No. 2
1042	Happy Birthday! No. 3
1043	Sweet Irony
1044	Happy 2015!
1045	Actress Awakens!
1046	Kung-Fu Awakens!
1047	Mr. Awakens!
1048	Bondage Awakens!
1049	The Dom Awakens!
1050	Box Cats Awaken!
1051	Panties Awakens!
1052	Tricycle Awakens!
1053	Ninja Awakens!
1054	Zombie Awakens!
1055	Samurai Awakens!
1056	Sumo Awakens!
1057	Boogie Awakens!
1058	Skirt Awakens!
1059	XP Megablitz!
1060	Sweetest Sorrow
1061	Dark Descent
1062	Dark Descent II
1063	Dark Descent III
1064	Dark Descent ∞
1065	The Battle Cats POP!
1066	Dimension of Despair
1067	小籠包★Q彈來襲
1068	20 Mil Downloads Special Gift!
1069	Deadly Carnival!
1070	Monthly Event All-Stars Wonderful Celebration!
1071	Minced Meet-Up
1072	All Hallows Road
1073	Mon. Blitz Stage
1074	Tues. Blitz Stage
1075	Weds. Blitz Stage
1076	Thurs. Blitz Stage
1077	Fri. Blitz Stage
1078	Facing Danger
1079	Event All-Stars Excellent Celebration!
1080	Birthday Present!
1081	Jolly St. Nick
1082	Auld Lang Syne!
1083	Adult Cat Awakes!
1084	Evil Cat Awakes!
1085	Doll Cats Awake!
1086	Maiden Awakes!
1087	Koi Awakens!
1088	Bride Awakens!
1089	Vacation Awakens!
1090	Vengeance Awakes!
1091	Kung-Fu X Awakes!
1092	Sports Day Awakens!
1093	Salaryman Awakes!
1094	Reindeer Fish Awakens!
1095	Clionel Ascendant
1096	Red Sky at Morning
1097	Growing Green
1098	Growing Purple
1099	Growing Red
1100	Growing Blue
1101	Growing Yellow
1102	Cat Maniac
1103	Tank Maniac
1104	Axe Maniac
1105	Gross Maniac
1106	Cow Maniac
1107	Bird Maniac
1108	Fish Maniac
1109	Lizard Maniac
1110	Titan Maniac
1111	Bad to Worse
1112	Day of Judgment
1113	協賛BitSummit記念！
1114	Techneurosis
1115	Summer Diary
1116	Mystery Package
1117	River Styx
1118	Catfruit Buffet
1119	Queen's Coronation
1120	Deadly Carnival II
1121	A Cultured Festival
1122	The Rolling Dead
1123	Birthday Present!
1124	XP Colosseum
1125	Cats in the Snow
1126	You Nears!
1127	Day of the Cat
1128	Dead on Debut
1129	Spring Sprang Sprung
1130	Li'l Cat Awakens!
1131	Li'l Tank Awakens!
1132	Li'l Axe Awakens!
1133	Li'l Gross Awakens!
1134	Li'l Cow Awakens!
1135	Li'l Bird Awakens!
1136	Li'l Fish Awakens!
1137	Li'l Lizard Awakens!
1138	Li'l Titan Awakens!
1139	For the Fans
1140	The Midas Touch
1141	協賛BitSummit記念！
1142	Sliming to Victory (Old)
1143	Cat Kart Awakens!
1144	開眼のネコンドー襲来！
1145	30M Celebration Gifts Galore!
1146	Event All-Stars Grand Jubilee!
1147	Watch & Earn
1148	Flower Cat Awakens!
1149	Summer Lesson
1150	Cavern of Comets
1151	Island of Ash
1152	Strait of Wings
1153	Catburger Awakens!
1154	Silver Week
1155	Merciless XP!
1156	Birthday Present!
1157	The 2nd Dimension
1158	King Wahwah's Revenge
1159	You Nears!
1160	Go Go Graduates!
1161	Crazed Moneko
1162	Growing Strange
1163	協賛BitSummit記念！
1164	Sliming to Victory
1165	Forbidden Bride Pt II
1166	Never Not Summer!
1167	Ghostly Strangers
1168	Old Guys in the City
1169	Crimson Vengeance
1170	Sports Night
1171	Worker's Revolution
1172	NEO Darkness Heaven
1173	Cybear's Vengeance
1174	A Cultured Festival
1175	Christmas in Space
1176	Peerless Too
1177	Deeply Dreaming
1178	Seeing Red
1179	Seeing Red II
1180	Seeing Red III
1181	Seeing Red ∞
1182	Event All-Stars Super Present DX
1183	B-Day Gifts
1184	Another New Year
1185	Wrath of the Divine
1186	Ritual Confusion
1187	Bitter Irony
1188	You Nears!
1189	Typhoon Nemo
1190	Deadly Carnival III
1191	40M Celebration Gifts Galore!
1192	Bears Be Back
1193	Dimension of Delirium
1194	Spring for Sensei
1195	Red Sky at Night
1196	Clionel Dominant
1197	Lovesick Again
1198	The Dead Keep Rolling
1199	River Acheron
1200	にゃんこグミ大戦争
1201	Queen's Condemnation
1202	協賛BitSummit記念！
1203	The 3rd Dimension
1204	Mystery Package
1205	Dead by Encore
1206	The Battle Cats Together!
1207	King Wahwah's Return
1208	Clan of the Maniacs
1209	Meow Meow Day
1210	Duel on the Prarie
1211	Duel at Sunset
1212	Duel Under the Stars
1213	Duel on the Dunes
1214	A Deeper Dream
1215	Blue Impact
1216	B-Day Gifts
1217	Courts of Torment
1218	謎の宅配便
1219	Papuu's Paradise
1220	The Old Queen
1221	You Nears!
1222	Growing Epic
1223	Most Defeated 2019
1224	Lunar New Year
1225	Mystery Package
1226	Bottom of the Swamp
1227	Duel at the Lava Fields
1228	50M Celebration Gifts Galore!
1229	Wanwan's Glory
1230	B-Day Gifts
1231	Z-Onel Rises!
1232	First Errand
1233	Isle of the Map Lord
1234	Total War: Spring Special
1235	Total War: Summer Special
1236	Total War: Fall Special
1237	Total War: Winter Special
1238	Tag Arena: Rookie
1239	Tag Arena: Beginner
1240	Tag Arena: Adept
1241	Tag Arena: Pro
1242	Tag Arena: Expert
1243	Top of the Bog
1244	バースデープレゼント!
1245	Most Appearances 2020
1246	Prelude to Ruin
1247	Typhoon Nihil
1248	Duel Under the Sea
1249	ネコウエハース降臨
1250	The Proving Grounds
1251	The Angel & The Demon
1252	The Queen & The Dead
1253	The King & The Maiden
1254	60M Celebration Gifts Galore!
1255	Arcane Confluence
1256	Servant of Darkness
1257	Wicked Cat
1258	Wicked Tank
1259	The Great Diablo
1265	Demon's Park
1266	Wicked Axe
1268	Unleashing the Cats
1269	Empress' Report 1
1270	Empress' Report 2
1271	Empress' Report 3
1272	Temptation's Symphony
1273	Rashomon
1274	Growing Evil
1275	Empress' Report 4
1276	Empress' Report 5
1282	Q1.箱の中身クイズ
1283	Q5.時の運クイズ
1284	バースデープレゼント！
1285	Top 5 Most Seen Enemies, 2021!
1286	New Year's Bling
