substage_ID	substage_name
0	Earthshaker
1	Return of Terror
2	Sunset Blues
3	Melancholy Damp
4	Bouncy Park
5	Gentle Smile
6	Guardian of the Ranch
7	Sleeping Lion
100	Nyandalucia
101	Paella Field
102	Flamenco Hole
103	Sangria River
104	Gazpacho Highland
105	Churros Night
106	Bone Dry Gardens
107	Tapas Desert
200	Chondroitin Sandhill
201	Sesamin Ruins
202	Isoflavone Cave
203	Catechin Hill
204	Lycopene Sunset
205	Propolis Oasis
206	Peptide snowfield
207	Hyaluronan Mountain
300	Premature Launch
301	Deep Ocean Blue
302	Mermaid Cove
303	Chaos Lagoon
304	Playing Pirates
305	Fisherman's Dilemma
306	Seaweed Shallows
307	Salty is Seawater
400	Lovely Minerals
401	Shapely Caverns
402	Enticing Tunnels
403	Squishy Hollows
404	Twin Peaks
405	Thriller Bridge
500	Gunman's Dawn
501	Cowboy Haven
502	Wanted Night
503	Macaroni Town
504	Wandering Traveler
505	Disappointed Guard
506	Cowboy Mountain
507	Rodeo Night
600	Red Tuna Coast
601	Fresh Wharf
602	Blue Ocean
603	Carapaccio Waters
604	Economic Sea
605	Tactical War Tuna
606	Frozen Tuna Front
607	Cave Fillet
700	Prickly Field
701	Bamboo Coast
702	Serial Killer Jungle
703	Disgusting Swamp
704	Dumpy Cave
705	Stardust Street
706	Mushroom Cliff
707	Frontier Spirit
800	Milky Tunnel
801	Fluffy Dark Weapon
802	Mural of the Devil
803	The Wind Blows
804	Juvenile Killer
805	Upset Rock
806	Flooded Cave
807	Chubby B. Goode
900	Hot Bath Rock
901	Gentle Geyser
902	Thick Magma
903	Fire Cage
904	Volcanic Defender
905	Flame Caldera
1000	Potential Road
1001	Gloomy Tree
1002	A Song in the Wind
1003	Philosophy Road
1004	Frontier Bell
1005	River of Tears
1006	Shining Road
1007	The Trial Deep
1100	The Sea Whispers
1101	Ripples Island
1102	Octopus Sea
1103	Poseidon Rest
1104	Moonlight Beach
1105	Coral Coral Reef
1106	Ark of the Month
1107	Killer Sardines
1200	Tuna Field
1201	Crab Field
1202	Salmon Cave
1203	Sea Urchin Cave
1204	Caviar Woods
1205	Natto Bay
1206	Halibut Forest
1207	Shrimp Frontier
1300	Cardboard Corridor
1301	Catnip Dream
1302	Crunchy Wall
1303	Wading Woodchips
1304	Crunchy Pillar
1305	Disapproving Giant
1400	Altar of Zeus
1401	Sword of Achilles
1402	Road of Eros
1403	Dawn of Gaia
1404	Gates of Aphrodite
1405	Labyrinth of Hades
1500	Clammy Cove
1501	Beached Mammals
1502	Bikini Territory
1503	Apple Bobbing Ocean
1504	Parasol Field
1505	Ancient One-Piece
1506	Glassy Sands
1507	Star Ocean
1600	Gull Coast
1601	Pelican Island
1602	Underground Base
1603	Villains Jungle
1604	Chicken Game
1605	Cat Trial
1606	Prison Prairie
1607	Jailer in the Morgue
1700	Sin and Punishment
1701	Prison Sentence
1702	Harry Tunnel
1703	Dead Falls
1704	Pitfall Zone
1705	The Great Escaper
1800	Jailbreak Diary
1801	Last Gang
1802	Prison Destruction
1803	King of Freedom
1804	Liar’s Fate
1805	Pigpen Taboo
1900	Gandara's Rest
1901	Utopia Is Over There
1902	Godiego Pass
1903	Monkey Magic
1904	Outsider’s Gate
1905	Marco Po Road
1906	Pig Swill
1907	Imp’s Cold Sweat
2000	Safe & Not Sorry
2001	Claustronyctophobia
2002	Red Alert
2003	Pitfalls of Life
2004	Subtle Curfew
2005	Underground
2100	The Red Carpet
2101	The Bathroom
2102	The VIP Room
2103	Torture Room
2104	Dictator’s Garden
2105	Satan’s Bedroom
2200	Feast of Betrayal
2201	Catharsis’ End
2202	Black Premonition
2203	Broken Mask
2204	Agape’s Cage
2205	Saint Red Fox
2300	Her Highness, Milk T.
2301	Angry Fighting
2302	The Horrible Song
2303	Trap of Cowards
2304	Dark Nemesis
2305	Scent of Gore & Fish
2400	Valkyrie Plains
2401	Minefield
2402	Kugel Schreiber
2403	Muddy Trench
2404	Sniper Jungle
2405	Sunset Soldier
2406	Father’s Back
2407	Winning Back
2500	Oil Platform
2501	Sweat and Aldehyde
2502	Ancient Trial
2503	I'm onto you
2504	Littering Coast
2505	Benzene Field
2506	Government Watchdog
2507	Revolving-door Floats
2600	Sunset’s Howl
2601	Gestalt, Decay
2602	Warrior’s Dawn
2603	Cursed Blizzards
2604	Sign of the Cat
2605	Out of Despair
2606	Metabolic Syndrome
2607	Love and Death
2700	At Least I'm a Cat
2701	Knights of the Round
2702	Cat Catharsis
2703	Beautiful Finale
2704	No More Bad Dreams
2705	Learned to Love
2800	Renewed Conflict
2801	Mysterious Order
2802	Birdwatching
2803	Thorny Dialogue
2804	Darkweb
2900	Hungry Forest
2901	Overachiever Central
2902	Morning Rush Hour
2903	Docking Massacre
2904	Subterranean Stalker
2905	Lord of the Abyss
3000	DNA & DHA
3001	Twilight Poachers
